"shapeid","neighborho"
"0","Seacliff"
"1","Haight Ashbury"
"2","Outer Mission"
"3","Russian Hill"
"4","Noe Valley"
"5","Inner Sunset"
"6","Downtown/Civic Center"
"7","Diamond Heights"
"8","Treasure Island/YBI"
"9","Lakeshore"
"10","Outer Richmond"
"11","Crocker Amazon"
"12","Excelsior"
"13","Parkside"
"14","Financial District"
"14.ring1","Financial District"
"15","Ocean View"
"16","Mission"
"17","West of Twin Peaks"
"18","Inner Richmond"
"19.0","Marina"
"19.0.ring1","Marina"
"19.0.ring2","Marina"
"19.0.ring3","Marina"
"19.1","Marina"
"19.2","Marina"
"19.3","Marina"
"19.4","Marina"
"19.5","Marina"
"19.6","Marina"
"19.7","Marina"
"19.8","Marina"
"19.9","Marina"
"19.10","Marina"
"19.11","Marina"
"19.12","Marina"
"19.13","Marina"
"19.14","Marina"
"19.15","Marina"
"19.16","Marina"
"20.0","Bayview"
"20.1","Bayview"
"21","Visitacion Valley"
"22","Pacific Heights"
"23","Presidio"
"24","Nob Hill"
"25","Outer Sunset"
"26","Western Addition"
"27","Golden Gate Park"
"28","Presidio Heights"
"29","South of Market"
"30","Glen Park"
"31","Potrero Hill"
"31.ring1","Potrero Hill"
"32","Castro/Upper Market"
"33","Twin Peaks"
"34","Bernal Heights"
"35","Chinatown"
"36.0","North Beach"
"36.1","North Beach"
"36.2","North Beach"
"36.3","North Beach"
"36.4","North Beach"
"36.5","North Beach"
"36.6","North Beach"
"36.7","North Beach"
"36.8","North Beach"
"36.9","North Beach"
"36.10","North Beach"
"36.11","North Beach"
"36.12","North Beach"
"36.13","North Beach"
"36.14","North Beach"
"36.15","North Beach"
"36.16","North Beach"
"36.17","North Beach"
"36.18","North Beach"
"36.19","North Beach"
"36.20","North Beach"
"36.21","North Beach"
"36.22","North Beach"
"36.23","North Beach"
"36.24","North Beach"
"36.25","North Beach"
"36.26","North Beach"
"36.27","North Beach"
"36.28","North Beach"
"36.29","North Beach"
"36.30","North Beach"
"36.31","North Beach"
"36.32","North Beach"
"36.33","North Beach"
"36.34","North Beach"
"36.35","North Beach"
"36.36","North Beach"
"36.37","North Beach"
"36.38","North Beach"
"36.39","North Beach"
"36.40","North Beach"
"36.41","North Beach"
"36.42","North Beach"
"36.43","North Beach"
"36.44","North Beach"
"36.45","North Beach"
"36.46","North Beach"
"36.47","North Beach"
"36.48","North Beach"
"36.49","North Beach"
"36.50","North Beach"
"36.51","North Beach"
"36.52","North Beach"
"36.53","North Beach"
"36.54","North Beach"
"36.55","North Beach"
"36.56","North Beach"
"36.57","North Beach"
"36.58","North Beach"
"36.59","North Beach"
"36.60","North Beach"
"36.61","North Beach"
"36.62","North Beach"
"36.63","North Beach"
